Robert F. Mays Park,Park District Park,"Community park with fields, paved loop, playground, shelter, native plantings, and parking",Active,Centerville-Washington Park District,Centerville-Washington Park District,,10553 Paragon Rd.,23.204,Centerville / Washington Township,Montgomery,"39.6007,-84.1597","8G2C+QX Centerville, Ohio",Trail,,Multi-Use Trail,Multi-Use Trail,0.75,Playground; Picnic Shelter,Paved multi-use trail (.75-mile loop); AED; grill; hitting wall; restrooms; major donor support,https://cwpd.org/parks/robert-f-mays/,
Rooks Ravine Park,Park District Park,Nature park with open meadow surrounded by woods; includes a stream,Active,Centerville-Washington Park District,Centerville-Washington Park District,,9100 Rooks Road,5.16,Centerville / Washington Township,Montgomery,"39.6287,-84.185","9G23+X4 Centerville, Ohio",,,,,,,Stream; acquired via open space transfer in 1981,https://cwpd.org/parks/rooks-ravine/,
Rosewood Park,Park District Park,"Neighborhood park with open sports area, fishing pond, sled hill, woods, and play equipment",Active,Centerville-Washington Park District,Centerville-Washington Park District,,475 Roselake Drive,13.047,Centerville / Washington Township,Montgomery,"39.6354,-84.1668","9G33+G4 Centerville, Ohio",Trail,,Nature Trail,Hiking Trail,,Playground; Sledding Hill; Fishing Pond,Hiking trails; drinking fountain; acquired 1975 & 1993,https://cwpd.org/parks/rosewood/,
Schoolhouse Park,Park District Park,"Community park with stadiums, courts, playground, paved trails, shelter, and restrooms",Active,Centerville-Washington Park District,Centerville-Washington Park District,,1875 Nutt Rd.,35.535,Centerville / Washington Township,Montgomery,"39.6189,-84.1498","9G22+QH Centerville, Ohio",Trail,,Multi-Use Trail,Multi-Use Trail,0.75,Playground; Tennis Court; Picnic Shelter; Restroom,Paved multi-use trail (.75 mile); AED; pickleball; lacrosse; historic schoolhouse site,https://cwpd.org/parks/schoolhouse/,
Silvercreek Park,Park District Park,Neighborhood park with paved multi-use trail connecting Holes Creek and Silvercreek Parks; 3 bridge crossings; regional trail connections,Active,Centerville-Washington Park District,Centerville-Washington Park District,,9369 Yankee Street,8.969,Centerville / Washington Township,Montgomery,"39.6218,-84.169","9G22+R5 Centerville, Ohio",Trail,,Multi-Use Trail,Multi-Use Trail,,,Paved multi-use trail (10' wide); Clean Ohio Trails grant; opened 2016; acquired 1979,https://cwpd.org/parks/silvercreek/,
Stansel Park,Park District Park,Neighborhood park in Sweeney Place featuring a restored springhouse foundation,Active,Centerville-Washington Park District,Centerville-Washington Park District,,1304 Sarah Freeman Drive,3.546,Centerville / Washington Township,Montgomery,"39.653,-84.1781","9G5C+H3 Centerville, Ohio",,,,,,,Springhouse foundation preserved; acquired 2008,https://cwpd.org/parks/stansel/,
Stringtown Park,Park District Park,Neighborhood park with sled hill and play equipment,Active,Centerville-Washington Park District,Centerville-Washington Park District,,9191 Woodstream Lane,4.168,Centerville / Washington Township,Montgomery,"39.627,-84.182","9G23+W4 Centerville, Ohio",Trail,,Nature Trail,Hiking Trail,,Playground; Sledding Hill,Informal natural trails; picnic tables; historic Stringtown context; acquired 1978,https://cwpd.org/parks/stringtown/,
Trailways Park,Park District Park,Small neighborhood park serving as a resting spot for bicyclists along the Spring Valley Pike multi-use trail,Active,Centerville-Washington Park District,Centerville-Washington Park District,,1165 W. Spring Valley Pike,1,Centerville / Washington Township,Montgomery,"39.6331,-84.1838","9G23+FJ Centerville, Ohio",Trail,,Multi-Use Trail,Multi-Use Trail,,,Acreage donated 2009 for CWPD's 50th anniversary,https://cwpd.org/parks/trailways/,
Village South Park,Park District Park,"Neighborhood park with courts, pickleball, play equipment, and shelter",Active,Centerville-Washington Park District,Centerville-Washington Park District,,411 North Village Drive,17.188,Centerville / Washington Township,Montgomery,"39.6427,-84.1587","9G4C+M9 Centerville, Ohio",Trail,,,Neighborhood Access,,Playground; Tennis Court; Pickleball Court; Picnic Shelter,Informal paved paths; adjacent to Primary Village North; acquired 1966,https://cwpd.org/parks/village-south/,
Wagon Trail Park,Park District Park,Neighborhood park with large open areas and play equipment,Active,Centerville-Washington Park District,Centerville-Washington Park District,,8450 Washington Village Drive,7.014,Centerville / Washington Township,Montgomery,"39.6204,-84.159","9G22+Q4 Centerville, Ohio",Trail,,Nature Trail,Neighborhood Access,,Playground,Informal play area; grill; picnic tables; historic farm lane; acquired 1971,https://cwpd.org/parks/wagon-trail/,
