VC Boardwalk Trail						Ottawa	U.S. Fish & Wildlife Service / Ottawa National Wildlife Refuge		Active	Easy				Trail at Ottawa NWR. Open year round. Begins and ends behind visitor center; travels over wetland and through wooded habitat. Also referenced as 'Boardwalk Loop' in narrative text on same page.	Trail at Ottawa NWR. Open year round. Begins and ends behind visitor center; travels over wetland and through wooded habitat. Also referenced as 'Boardwalk Loop' in narrative text on same page.	https://www.fws.gov/refuge/ottawa/visit-us/trails		OH-OTT-T-077
Estuary Trail						Ottawa	U.S. Fish & Wildlife Service / Ottawa National Wildlife Refuge		Active	Moderate				Trail at Ottawa NWR. Seasonal: Daily December through October; Saturday afternoon-Sunday October through November. Located west of the Magee Marsh beach along Lake Erie. Length discrepancy: narrative says 0.5 mi, structured listing shows 1.15 mi — 0.54 mi appears in the structured trail card.	Trail at Ottawa NWR. Seasonal: Daily December through October; Saturday afternoon-Sunday October through November. Located west of the Magee Marsh beach along Lake Erie. Length discrepancy: narrative says 0.5 mi, structured listing shows 1.15 mi — 0.54 mi appears in the structured trail card.	https://www.fws.gov/refuge/ottawa/visit-us/trails		OH-OTT-T-078
Grimm Prairie Trail						Ottawa	U.S. Fish & Wildlife Service / Ottawa National Wildlife Refuge		Active	Easy				Trail at Ottawa NWR. Open year round. Located behind offices of Black Swamp Bird Observatory. Loop route. Also referenced as 'Gallagher Memorial Trail' in narrative text — source page uses both names in different sections; structured listing uses 'Grimm Prairie Trail'. Capture both names; flag for normalization.	Trail at Ottawa NWR. Open year round. Located behind offices of Black Swamp Bird Observatory. Loop route. Also referenced as 'Gallagher Memorial Trail' in narrative text — source page uses both names in different sections; structured listing uses 'Grimm Prairie Trail'. Capture both names; flag for normalization.	https://www.fws.gov/refuge/ottawa/visit-us/trails		OH-OTT-T-079
John Gallagher Trail						Ottawa	U.S. Fish & Wildlife Service / Ottawa National Wildlife Refuge		Active					Trail at Ottawa NWR. Narrative text references a 'Gallagher Memorial Trail' at 0.3 mi behind BSBO offices — structured listing shows this as a separate trail (John Gallagher Trail, 0.99 mi) from Grimm Prairie Trail. T1-FLAG-2: may be same physical trail as 'Gallagher Memorial Trail' referenced at Magee Marsh. Flag for GPS acquisition resolution.	Trail at Ottawa NWR. Narrative text references a 'Gallagher Memorial Trail' at 0.3 mi behind BSBO offices — structured listing shows this as a separate trail (John Gallagher Trail, 0.99 mi) from Grimm Prairie Trail. T1-FLAG-2: may be same physical trail as 'Gallagher Memorial Trail' referenced at Magee Marsh. Flag for GPS acquisition resolution.	https://www.fws.gov/refuge/ottawa/visit-us/trails		OH-OTT-T-080
Krause Road Trail						Ottawa	U.S. Fish & Wildlife Service / Ottawa National Wildlife Refuge		Active					Trail at Ottawa NWR. 0.27 mi from structured listing. No additional detail provided on trails page.	Trail at Ottawa NWR. 0.27 mi from structured listing. No additional detail provided on trails page.	https://www.fws.gov/refuge/ottawa/visit-us/trails		OH-OTT-T-081
Lakeshore Preserve Trail						Ottawa	U.S. Fish & Wildlife Service / Ottawa National Wildlife Refuge		Active					Trail at Ottawa NWR. 1.30 mi from structured listing.	Trail at Ottawa NWR. 1.30 mi from structured listing.	https://www.fws.gov/refuge/ottawa/visit-us/trails		OH-OTT-T-082
Marinewood Trail						Ottawa	U.S. Fish & Wildlife Service / Ottawa National Wildlife Refuge		Active					Trail at Ottawa NWR. 2.46 mi from structured listing.	Trail at Ottawa NWR. 2.46 mi from structured listing.	https://www.fws.gov/refuge/ottawa/visit-us/trails		OH-OTT-T-083
Middle Toussaint Trail						Ottawa	U.S. Fish & Wildlife Service / Ottawa National Wildlife Refuge		Active					Trail at Ottawa NWR. 8.06 mi from structured listing — longest trail on the refuge. No formal named segments documented on FWS trails page.	Trail at Ottawa NWR. 8.06 mi from structured listing — longest trail on the refuge. No formal named segments documented on FWS trails page.	https://www.fws.gov/refuge/ottawa/visit-us/trails		OH-OTT-T-085
Ottawa Wildlife Interpretive Trail						Ottawa	U.S. Fish & Wildlife Service / Ottawa National Wildlife Refuge		Active	Easy				Trail at Ottawa NWR. Open year round. Between trailhead parking lot and Magee Marsh Wildlife Area entrance road. Access from trailhead parking lot or Migratory Bird Center parking lot at Magee Marsh.	Trail at Ottawa NWR. Open year round. Between trailhead parking lot and Magee Marsh Wildlife Area entrance road. Access from trailhead parking lot or Migratory Bird Center parking lot at Magee Marsh.	https://www.fws.gov/refuge/ottawa/visit-us/trails		OH-OTT-T-086
Partnership Trail						Ottawa	U.S. Fish & Wildlife Service / Ottawa National Wildlife Refuge		Active	Easy				Trail at Ottawa NWR. Open year round. Connects to Grimm Prairie and John Gallagher trails; also accessible from Migratory Bird Center parking at Magee Marsh.	Trail at Ottawa NWR. Open year round. Connects to Grimm Prairie and John Gallagher trails; also accessible from Migratory Bird Center parking at Magee Marsh.	https://www.fws.gov/refuge/ottawa/visit-us/trails		OH-OTT-T-087
Pool 1 West Trail						Ottawa	U.S. Fish & Wildlife Service / Ottawa National Wildlife Refuge		Active					Trail at Ottawa NWR. 0.22 mi from structured listing.	Trail at Ottawa NWR. 0.22 mi from structured listing.	https://www.fws.gov/refuge/ottawa/visit-us/trails		OH-OTT-T-088
